Sample,Units,config,C3pre,C4pre,C5pre,C6pre,C7pre,C8pre,C3post,C4post,C5post,C6post,C7post,C8post,C3MDL,C4MDL,C5MDL,C6MDL,C7MDL,C8MDL,C3err,C4err,C5err,C6err,C7err,C8err,42FTmeas,53FTmeas,62FTmeas,73FTmeas,82FTmeas,C4ECFmeas,C5ECFmeas,C6ECFmeas,C7ECFmeas,C8ECFmeas,PFOS,PFOSMDL
LOC3PS2,nM,unknown_fish.yaml,0,0,0,0.026594048,0.055917691,0.172588487,3.28803708,3.064358273,2.407033854,0,0.398671338,0,3.9888,0.6062,0.3746,0.0903,0.0985,0.0776,0.45,0.3,0.15,0.3,0.05,0.15,0,0,0.1758,0.2166,0.069,10.8085,,1.8838,,0.3946,0.421,0.1749
LOC3YP1,nM,unknown_fish.yaml,0,0,0,0,0.090769253,0.227560848,0,2.486367761,2.668712701,0,0.438458881,0.062869616,3.9888,0.6062,0.3746,0.0903,0.0985,0.0776,0.45,0.3,0.15,0.3,0.05,0.15,0,0,0,0.1282,0.164,9.5353,,1.2582,,0.3824,5.0845,0.1749
LOC4BGcomp,nM,unknown_fish.yaml,0,0,0,0.07775427,1.279085371,0.152860792,0,2.580729442,2.313567553,0.990382306,4.512031556,0.559672355,3.9888,0.6062,0.3746,0.0903,0.0985,0.0776,0.45,0.3,0.15,0.3,0.05,0.15,0,0,0,0.2577,0,0.8111,,0.1889,,5.1716,40.2684,0.1749
LOC5BGcomp,nM,unknown_fish.yaml,0,0,0,0,0.009745851,0.085005861,4.23823184,0.075120302,0,0,0,0,3.9888,0.6062,0.3746,0.0903,0.0985,0.0776,0.45,0.3,0.15,0.3,0.05,0.15,0,0,0,0.0291,0,0.1766,,0,,0.0216,0,0.1749
LOC5LM1_Dup,nM,unknown_fish.yaml,0,0,0,0.078526776,0,0,5.183628388,0,0.682993351,0,0,0,3.9888,0.6062,0.3746,0.0903,0.0985,0.0776,0.45,0.3,0.15,0.3,0.05,0.15,0,0,0,0.0247,0,0.7946,,0,,0.0387,1.8174,0.1749
LOC9SM1,nM,unknown_fish.yaml,0,0,0,0,0.075416914,0.400863015,0,3.555664786,0,2.685725691,0,0,3.9888,0.6062,0.3746,0.0903,0.0985,0.0776,0.45,0.3,0.15,0.3,0.05,0.15,0,0,0,0.0257,0,1.0123,,0,,0,0,0.1749
LOC9YP1,nM,unknown_fish.yaml,0,0,0,0,0.315881517,0.724168547,0,3.579830953,0.853643521,0.164718614,0.386199011,0.271645329,3.9888,0.6062,0.3746,0.0903,0.0985,0.0776,0.45,0.3,0.15,0.3,0.05,0.15,0,0,0,0.0231,0,1.6953,,0,,0.1566,0,0.1749
